qh_category,Collaboration,Funding & Support,Infrastructure,Knowledge Transfer,Regulation & Governance,Societal Impact,Talent Development
Academia,17.18,22.7,22.09,0.61,18.4,7.98,11.04
Civil Society,16.52,19.13,16.52,1.74,16.52,17.39,12.17
Government,14.55,23.18,17.27,4.09,21.36,12.27,7.27
Industry,21.05,21.05,18.95,3.16,15.79,11.58,8.42
