qh_category,Collaboration,Funding & Support,Infrastructure,Knowledge Transfer,Regulation & Governance,Societal Impact,Talent Development
Academia,20.26,17.18,19.23,9.23,14.62,15.38,4.1
Civil Society,17.43,16.51,17.43,11.93,15.6,15.6,5.5
Government,15.7,15.7,15.7,13.95,17.44,15.12,6.4
Industry,14.2,17.16,14.2,11.83,16.57,17.16,8.88
