Country,Documents,Total_Paragraphs,Total_Characters,Total_QH_Actors,Total_Sentences,Avg_Chars_per_Sentence,Avg_Sentences_per_Para,Actors_per_100_Sentences
CAN,1,147,84942,97,487,174.4188911704312,3.312925170068027,19.917864476386036
GER,1,172,139300,169,810,171.97530864197532,4.709302325581396,20.8641975308642
UK,1,161,134319,144,688,195.23110465116278,4.273291925465839,20.930232558139537
USA,1,48,44202,41,228,193.8684210526316,4.75,17.982456140350877
