Actor_Name,QH_Category,Connections,Centrality_Score
Regional Economic Growth through Innovation program,Uncategorized,57,0.37254901960784315
SIF,Uncategorized,57,0.37254901960784315
Standards Council of Canada,Uncategorized,57,0.37254901960784315
Strategic Innovation Fund,Uncategorized,57,0.37254901960784315
Alberta Technology and Innovation Strategy,Uncategorized,31,0.20261437908496732
CFREF,Uncategorized,31,0.20261437908496732
CIFAR,Uncategorized,31,0.20261437908496732
CSA,Uncategorized,31,0.20261437908496732
Canada First Research Excellence Fund,Uncategorized,31,0.20261437908496732
Canadian Coast Guard,Uncategorized,31,0.20261437908496732
Canadian Space Agency,Uncategorized,31,0.20261437908496732
Directive on Security Management,Uncategorized,31,0.20261437908496732
Federal department,Uncategorized,31,0.20261437908496732
Global Industry Analysts Inc.,Uncategorized,31,0.20261437908496732
Government of Alberta,Uncategorized,31,0.20261437908496732
Government of British Columbia,Uncategorized,31,0.20261437908496732
Government of Ontario,Uncategorized,31,0.20261437908496732
ITB,Uncategorized,31,0.20261437908496732
ITB Policy,Uncategorized,31,0.20261437908496732
NFRF,Uncategorized,31,0.20261437908496732
NQS Secretariat,Uncategorized,31,0.20261437908496732
NRC,Uncategorized,31,0.20261437908496732
NSERC,Uncategorized,31,0.20261437908496732
National Research Council of Canada,Uncategorized,31,0.20261437908496732
Natural Sciences and Engineering Research Council of Canada,Uncategorized,31,0.20261437908496732
New Frontiers in Research Fund,Uncategorized,31,0.20261437908496732
Pacific Economic Development Canada,Uncategorized,31,0.20261437908496732
Perimeter Institute for Theoretical Physics,Uncategorized,31,0.20261437908496732
Prairies Economic Development Canada,Uncategorized,31,0.20261437908496732
Quantum Committee,Uncategorized,31,0.20261437908496732
STDP,Uncategorized,31,0.20261437908496732
Space Technology Development Program,Uncategorized,31,0.20261437908496732
University of Alberta,Uncategorized,31,0.20261437908496732
University of Calgary,Uncategorized,31,0.20261437908496732
University of Lethbridge,Uncategorized,31,0.20261437908496732
John R. Evans Leaders Fund,Uncategorized,3,0.0196078431372549
QRDI,Uncategorized,3,0.0196078431372549
Quantum Research and Development Initiative,Uncategorized,3,0.0196078431372549
CIIP,Uncategorized,1,0.006535947712418301
NSERC Alliance,Uncategorized,1,0.006535947712418301
