Actor,Category,Degree_Centrality,Betweenness_Centrality
Strategic Innovation Fund,not an actor,0.37254901960784315,0.0
Alberta Technology and Innovation Strategy,Government,0.20261437908496732,0.0
CFREF,not an actor,0.20261437908496732,0.0
CIFAR,Academia,0.20261437908496732,0.0
CSA,Government,0.20261437908496732,0.0
Canada First Research Excellence Fund,not an actor,0.20261437908496732,0.0
Canadian Coast Guard,Government,0.20261437908496732,0.0
Canadian Space Agency,Government,0.20261437908496732,0.0
Directive on Security Management,not relevant (from Footnotes),0.20261437908496732,0.0
Federal department,not specified,0.20261437908496732,0.0
Global Industry Analysts Inc.,not relevant (from Footnotes),0.20261437908496732,0.0
Government of Alberta,Government,0.20261437908496732,0.0
Government of British Columbia,Government,0.20261437908496732,0.0
Government of Ontario,Government,0.20261437908496732,0.0
ITB,not an actor,0.20261437908496732,0.0
ITB Policy,not an actor,0.20261437908496732,0.0
NFRF,not an actor,0.20261437908496732,0.0
NQS Secretariat,Government,0.20261437908496732,0.0
NRC,Academia,0.20261437908496732,0.0
NSERC,Government,0.20261437908496732,0.0
National Research Council of Canada,Academia,0.20261437908496732,0.0
Natural Sciences and Engineering Research Council of Canada,Government,0.20261437908496732,0.0
New Frontiers in Research Fund,not an actor,0.20261437908496732,0.0
Pacific Economic Development Canada,Government,0.20261437908496732,0.0
Perimeter Institute for Theoretical Physics,Academia,0.20261437908496732,0.0
Prairies Economic Development Canada,Government,0.20261437908496732,0.0
Quantum Committee,not an actor,0.20261437908496732,0.0
STDP,not an actor,0.20261437908496732,0.0
Space Technology Development Program,not an actor,0.20261437908496732,0.0
University of Alberta,Academia,0.20261437908496732,0.0
University of Calgary,Academia,0.20261437908496732,0.0
University of Lethbridge,Academia,0.20261437908496732,0.0
John R. Evans Leaders Fund,not an actor,0.0196078431372549,0.0
QRDI,not an actor,0.0196078431372549,0.0
Quantum Research and Development Initiative,not an actor,0.0196078431372549,0.0
CIIP,not an actor,0.006535947712418301,0.0
NSERC Alliance,not an actor,0.006535947712418301,0.0
