Actor_Name,QH_Category,Degree_Centrality,Direct_Connections
Global Industry Analysts Inc.,not relevant (from Footnotes),0.20261437908496732,31
Government of Alberta,Government,0.20261437908496732,31
Government of British Columbia,Government,0.20261437908496732,31
Government of Ontario,Government,0.20261437908496732,31
ITB,not an actor,0.20261437908496732,31
ITB Policy,not an actor,0.20261437908496732,31
NFRF,not an actor,0.20261437908496732,31
NQS Secretariat,Government,0.20261437908496732,31
NRC,Academia,0.20261437908496732,31
NSERC,Government,0.20261437908496732,31
National Research Council of Canada,Academia,0.20261437908496732,31
Natural Sciences and Engineering Research Council of Canada,Government,0.20261437908496732,31
New Frontiers in Research Fund,not an actor,0.20261437908496732,31
Pacific Economic Development Canada,Government,0.20261437908496732,31
Perimeter Institute for Theoretical Physics,Academia,0.20261437908496732,31
Prairies Economic Development Canada,Government,0.20261437908496732,31
Quantum Committee,not an actor,0.20261437908496732,31
STDP,not an actor,0.20261437908496732,31
Space Technology Development Program,not an actor,0.20261437908496732,31
University of Alberta,Academia,0.20261437908496732,31
University of Calgary,Academia,0.20261437908496732,31
University of Lethbridge,Academia,0.20261437908496732,31
John R. Evans Leaders Fund,not an actor,0.0196078431372549,3
QRDI,not an actor,0.0196078431372549,3
Quantum Research and Development Initiative,not an actor,0.0196078431372549,3
CIIP,not an actor,0.006535947712418301,1
NSERC Alliance,not an actor,0.006535947712418301,1
