Doc_ID,Sentence_ID,Country,Year,Document_Name,entity_name,ner_label,qh_category,qh_sub_category,qh_exact_category
1,237,CAN,2022,Canada's National Quantum Strategy,DND,ORG,,,
1,238,CAN,2022,Canada's National Quantum Strategy,QRDI,ORG,,,
1,238,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,238,CAN,2022,Canada's National Quantum Strategy,Quantum Research and Development Initiative,ORG,,,
1,239,CAN,2022,Canada's National Quantum Strategy,QRDI,ORG,,,
1,241,CAN,2022,Canada's National Quantum Strategy,IDEaS  Innovation for Defence Excellence and Security,ORG,,,
1,242,CAN,2022,Canada's National Quantum Strategy,DND,ORG,,,
1,242,CAN,2022,Canada's National Quantum Strategy,Canadian Armed Forces,ORG,,,
1,25,CAN,2022,Canada's National Quantum Strategy,NRC,ORG,,,
1,25,CAN,2022,Canada's National Quantum Strategy,National Research Council of Canada,ORG,,,
1,253,CAN,2022,Canada's National Quantum Strategy,Université de Sherbrooke,ORG,,,
1,254,CAN,2022,Canada's National Quantum Strategy,Institute for Quantum Computing,ORG,,,
1,255,CAN,2022,Canada's National Quantum Strategy,Stewart Blusson Quantum Matter Institute,ORG,,,
1,255,CAN,2022,Canada's National Quantum Strategy,Institut Quantique,ORG,,,
1,257,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,257,CAN,2022,Canada's National Quantum Strategy,Mitacs,ORG,,,
1,258,CAN,2022,Canada's National Quantum Strategy,NSERC,ORG,,,
1,266,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,273,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,274,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,274,CAN,2022,Canada's National Quantum Strategy,Mitacs,ORG,,,
1,274,CAN,2022,Canada's National Quantum Strategy,NSERC,ORG,,,
1,275,CAN,2022,Canada's National Quantum Strategy,NSERC CREATE,ORG,,,
1,276,CAN,2022,Canada's National Quantum Strategy,Mitacs,ORG,,,
1,277,CAN,2022,Canada's National Quantum Strategy,Mitacs,ORG,,,
1,277,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,277,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,280,CAN,2022,Canada's National Quantum Strategy,Mitacs Accelerate International,ORG,,,
1,281,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,281,CAN,2022,Canada's National Quantum Strategy,NSERC,ORG,,,
1,282,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,284,CAN,2022,Canada's National Quantum Strategy,Alliance International,ORG,,,
1,285,CAN,2022,Canada's National Quantum Strategy,"Immigration, Refugees and Citizenship Canada",ORG,,,
1,285,CAN,2022,Canada's National Quantum Strategy,GAC,ORG,,,
1,285,CAN,2022,Canada's National Quantum Strategy,Global Affairs Canada,ORG,,,
1,286,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,286,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,287,CAN,2022,Canada's National Quantum Strategy,Budget 2022,ORG,,,
1,287,CAN,2022,Canada's National Quantum Strategy,CSE,ORG,,,
1,288,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,290,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,291,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,292,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,293,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,295,CAN,2022,Canada's National Quantum Strategy,ISED,ORG,,,
1,295,CAN,2022,Canada's National Quantum Strategy,"Innovation, Science and Economic Development Canada",ORG,,,
1,298,CAN,2022,Canada's National Quantum Strategy,Tri-Agency EDI Action Plan,ORG,,,
1,298,CAN,2022,Canada's National Quantum Strategy,NSERC,ORG,,,
1,299,CAN,2022,Canada's National Quantum Strategy,Alliance,ORG,,,
1,299,CAN,2022,Canada's National Quantum Strategy,EDI,ORG,,,
1,30,CAN,2022,Canada's National Quantum Strategy,D-Wave,ORG,,,
1,300,CAN,2022,Canada's National Quantum Strategy,EDI,ORG,,,
1,301,CAN,2022,Canada's National Quantum Strategy,Perimeter Institute,ORG,,,
1,301,CAN,2022,Canada's National Quantum Strategy,International Summer School for Young Physicists,ORG,,,
1,301,CAN,2022,Canada's National Quantum Strategy,EDI,ORG,,,
1,302,CAN,2022,Canada's National Quantum Strategy,Perimeter,ORG,,,
1,302,CAN,2022,Canada's National Quantum Strategy,PSI,ORG,,,
1,307,CAN,2022,Canada's National Quantum Strategy,Statistics Canada,ORG,,,
1,307,CAN,2022,Canada's National Quantum Strategy,Quantum Industry Canada,ORG,,,
1,308,CAN,2022,Canada's National Quantum Strategy,Creative Destruction Lab,ORG,,,
1,31,CAN,2022,Canada's National Quantum Strategy,World Economic Forum,ORG,,,
1,313,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,314,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,315,CAN,2022,Canada's National Quantum Strategy,IRAP,ORG,,,
1,315,CAN,2022,Canada's National Quantum Strategy,NRC’s Industrial Research Assistance Program,ORG,,,
1,316,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,316,CAN,2022,Canada's National Quantum Strategy,CED,ORG,,,
1,316,CAN,2022,Canada's National Quantum Strategy,Canada Economic Development for Quebec Regions,ORG,,,
1,316,CAN,2022,Canada's National Quantum Strategy,FedDev Ontario,ORG,,,
1,316,CAN,2022,Canada's National Quantum Strategy,WD,ORG,,,
1,316,CAN,2022,Canada's National Quantum Strategy,Federal Economic Development Agency for Southern Ontario,ORG,,,
1,316,CAN,2022,Canada's National Quantum Strategy,Western Economic Diversification,ORG,,,
1,316,CAN,2022,Canada's National Quantum Strategy,ISC,ORG,,,
1,317,CAN,2022,Canada's National Quantum Strategy,GAC,ORG,,,
1,317,CAN,2022,Canada's National Quantum Strategy,NRC IRAP,ORG,,,
1,317,CAN,2022,Canada's National Quantum Strategy,Canadian International Innovation Program,ORG,,,
1,318,CAN,2022,Canada's National Quantum Strategy,SIF,ORG,,,
1,318,CAN,2022,Canada's National Quantum Strategy,D-Wave,ORG,,,
1,318,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,319,CAN,2022,Canada's National Quantum Strategy,Deep Tech Venture Fund,ORG,,,
1,319,CAN,2022,Canada's National Quantum Strategy,Nord Quantique,ORG,,,
1,319,CAN,2022,Canada's National Quantum Strategy,Business Development Bank of Canada,ORG,,,
