topic_id,word,score
-1,and,0.014100420447999563
-1,the,0.013881860317238261
-1,to,0.013681527884449068
-1,of,0.012660735173755188
-1,for,0.011573443601376297
-1,in,0.011314752053353791
-1,quantum,0.010447564255921856
-1,research,0.010156296355824114
-1,with,0.009438636582306167
-1,on,0.008860114543901293
0,quantum,0.040100753122189824
0,technologies,0.037691311353311205
0,of,0.014880976173279558
0,the,0.013846336682651152
0,sector,0.013756582612150306
0,to,0.011867176268861747
0,and,0.011078242159386674
0,in,0.011052964398642928
0,technology,0.010975940835535616
0,will,0.010605655212741663
1,technologies,0.03073463104423558
1,applications,0.027016857328619314
1,technology,0.02087249585035035
1,application,0.018477347681890507
1,development,0.017858574889974648
1,new,0.01726086527323794
1,of,0.017255208020046514
1,technological,0.015221438415966373
1,as,0.014949429153231934
1,the,0.01476223657707162
2,canada,0.10087963598890114
2,canadian,0.06063089017225254
2,government,0.03145394084658792
2,ontario,0.022642723032448787
2,has,0.01833153954331164
2,economic,0.01719884370363133
2,of,0.017164091410039668
2,million,0.01606040639126141
2,in,0.014847693914075803
2,quebec,0.014805730588878071
3,uk,0.09676625149946622
3,quantum,0.035009989170314275
3,leading,0.02564586633229095
3,the,0.02302970033296784
3,business,0.021205040515774574
3,ensure,0.01996735453773048
3,sector,0.018819391671870092
3,home,0.018365971366412697
3,our,0.017538597298501938
3,technologies,0.01702990678689696
4,germany,0.08379496820329746
4,german,0.035303253089435827
4,europe,0.03452595262875125
4,european,0.03288587681039498
4,in,0.021740852134695586
4,eu,0.0209593217475864
4,bsi,0.020499234633289898
4,bmbf,0.018136575939509805
4,framework,0.017752052886727047
4,is,0.01758900291052966
5,sensors,0.05070087768738488
5,timing,0.0400495665330191
5,sensing,0.03024873328411213
5,or,0.02903214256206404
5,clocks,0.028126246824012886
5,positioning,0.024738477166849016
5,navigation,0.024201318647108044
5,precision,0.024047372287199442
5,measurements,0.02343853902001074
5,optical,0.02289460101710492
6,workforce,0.050122798825366514
6,quantum,0.036662344730790324
6,training,0.035254918581743684
6,talent,0.035189238804168965
6,skills,0.03392293653338086
6,fellowships,0.02922384123083278
6,doctoral,0.02547510653813653
6,apprenticeships,0.021253267095263026
6,smart,0.01985301689616311
6,needs,0.018369617830695194
7,qis,0.1767914027443128
7,research,0.02340568397860134
7,leadership,0.022741155288746824
7,nation,0.02179565330953586
7,united,0.02065763525060349
7,and,0.017610026970250457
7,encourage,0.016807227964994637
7,in,0.016191140518122718
7,states,0.015854037909780332
7,community,0.015372580531500415
8,cryptography,0.11125146572714248
8,post,0.08096323805793246
8,safe,0.045569703390347285
8,qkd,0.04106303312064124
8,quantum,0.040537882197206006
8,security,0.03145152408686065
8,resistant,0.031391836546759644
8,cryptographic,0.02796246977469295
8,channel,0.019143744621167292
8,pqc,0.019143744621167292
9,uk,0.09148420418004782
9,the,0.02182277681117694
9,global,0.019645248699555754
9,continue,0.019364215923185872
9,is,0.019093709120555198
9,investment,0.018913469341181197
9,we,0.018140467164166608
9,business,0.017784116852456244
9,to,0.016843995706557768
9,great,0.016814100776242787
10,international,0.09462866202764275
10,collaboration,0.055838601887689514
10,bilateral,0.03934856949918201
10,partners,0.03707017624797389
10,partnerships,0.03117473632597273
10,global,0.030780730735972914
10,with,0.026307166863505423
10,forum,0.02485394109933549
10,minded,0.024277155870769423
10,world,0.02422217481150243
11,canada,0.08257398422833409
11,canadian,0.07542042992347255
11,quantum,0.037373532742993716
11,strength,0.022714614523696483
11,canadians,0.02218747663126016
11,industry,0.020117445981806276
11,technologies,0.019088585392148433
11,success,0.018499977804516406
11,government,0.018278757338926234
11,ecosystem,0.017184605499184012
12,computing,0.11163246558015205
12,quantum,0.04319787180713129
12,computers,0.028086100964879387
12,dlr,0.024220184196417947
12,computer,0.02151414137275101
12,could,0.02006150068919956
12,algorithms,0.019450477385749527
12,hardware,0.018058073977319122
12,of,0.017377002705565782
12,unit,0.017237504931569107
13,hardware,0.0654672562550868
13,platforms,0.04890352096966093
13,software,0.04105959191201617
13,performance,0.037409860717192454
13,compute,0.034348261610223675
13,computing,0.030064122521317366
13,hpc,0.02369010044833095
13,computer,0.02228479718311821
13,accelerator,0.021885849477386542
13,computers,0.0207801216094097
14,sensors,0.08093137550000633
14,sensing,0.07574054880401702
14,sensor,0.07494070832649834
14,imaging,0.06797722863679802
14,quantum,0.04777638179173185
14,timing,0.03828914602607321
14,technology,0.03649801864651734
14,tum,0.02355642033213219
14,superconducting,0.02301965329646622
14,computing,0.019459448945086475
15,nqcc,0.11514250378242992
15,nqs,0.0886121915989549
15,nqtp,0.05290421903183877
15,missions,0.03697067401391482
15,sparq,0.029131633346093283
15,objectives,0.025782392922011812
15,the,0.02380964708069766
15,will,0.0237332011405821
15,npl,0.020998538025241324
15,support,0.018346082293262365
16,products,0.06492002231837692
16,commercialisation,0.037248743664672575
16,commercialization,0.029249962837812293
16,market,0.024167009792395562
16,at,0.022809610247634605
16,companies,0.021960299675706358
16,economy,0.020916164382452408
16,user,0.019945004500696095
16,innovative,0.019202678443048297
16,development,0.019027168203670553
17,scientific,0.06231139190558243
17,science,0.040329797552014796
17,fundamental,0.037794850188632434
17,challenges,0.03604240029962918
17,grand,0.03386419346734066
17,problems,0.032474512813589755
17,research,0.027898707085467316
17,engineering,0.027283249784610372
17,challenge,0.026350867301821283
17,transformative,0.02266386267364603
18,funding,0.07183021288922009
18,investment,0.048986471987891196
18,procurement,0.04580378153901157
18,catalyst,0.032639998107621554
18,government,0.02410720917821657
18,investments,0.023709435795964767
18,expand,0.023531930121232687
