Paragraph_ID,Doc_ID,Country,Year,Document_Name,entity_name,ner_label,qh_category,qh_sub_category,qh_exact_category
74,1,CAN,2022,Canada's National Quantum Strategy,CED,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Canadian International Innovation Program,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,NRC IRAP,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Business Development Bank of Canada,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,BDC,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Deep Tech Venture Fund,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Xanadu of Toronto,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Nord Quantique,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,BDC Deep Tech Venture Fund,ORG,,,
76,1,CAN,2022,Canada's National Quantum Strategy,Regional Economic Growth through Innovation,ORG,,,
76,1,CAN,2022,Canada's National Quantum Strategy,REGI,ORG,,,
76,1,CAN,2022,Canada's National Quantum Strategy,PrairiesCan,ORG,,,
76,1,CAN,2022,Canada's National Quantum Strategy,PacifiCan,ORG,,,
76,1,CAN,2022,Canada's National Quantum Strategy,Department of National Defence and Canadian Armed Forces Quantum Science and Technology,ORG,,,
76,1,CAN,2022,Canada's National Quantum Strategy,S&T,ORG,,,
77,1,CAN,2022,Canada's National Quantum Strategy,Quantum Advisory Council,ORG,,,
77,1,CAN,2022,Canada's National Quantum Strategy,Council,ORG,,,
77,1,CAN,2022,Canada's National Quantum Strategy,Quantum Committee,ORG,,,
77,1,CAN,2022,Canada's National Quantum Strategy,NQS Secretariat,ORG,,,
78,1,CAN,2022,Canada's National Quantum Strategy,Government of Quebec,ORG,,,
78,1,CAN,2022,Canada's National Quantum Strategy,Sherbrooke Quantum Innovation Zone,ORG,,,
78,1,CAN,2022,Canada's National Quantum Strategy,Institut Quantique de Sherbrooke,ORG,,,
78,1,CAN,2022,Canada's National Quantum Strategy,IBM Quantum Hub,ORG,,,
78,1,CAN,2022,Canada's National Quantum Strategy,IBM,ORG,,,
78,1,CAN,2022,Canada's National Quantum Strategy,IBM Q System One,ORG,,,
78,1,CAN,2022,Canada's National Quantum Strategy,Anyon Systems,ORG,,,
78,1,CAN,2022,Canada's National Quantum Strategy,Government of Ontario,ORG,,,
78,1,CAN,2022,Canada's National Quantum Strategy,Perimeter Institute for Theoretical Physics,ORG,,,
79,1,CAN,2022,Canada's National Quantum Strategy,Government of Alberta,ORG,,,
79,1,CAN,2022,Canada's National Quantum Strategy,Alberta Technology and Innovation Strategy,ORG,,,
79,1,CAN,2022,Canada's National Quantum Strategy,University of Calgary,ORG,,,
79,1,CAN,2022,Canada's National Quantum Strategy,University of Alberta,ORG,,,
79,1,CAN,2022,Canada's National Quantum Strategy,University of Lethbridge,ORG,,,
80,1,CAN,2022,Canada's National Quantum Strategy,Government of British Columbia,ORG,,,
